Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,5.058118813080826,"tensor(0.0220, device='cuda:0', dtype=torch.float64)",4.958960628192687,"tensor(0.0332, device='cuda:0', dtype=torch.float64)"
2,4.15746647715692,"tensor(0.0710, device='cuda:0', dtype=torch.float64)",3.9216148156264294,"tensor(0.1013, device='cuda:0', dtype=torch.float64)"
3,3.379578086302428,"tensor(0.1586, device='cuda:0', dtype=torch.float64)",3.3397490083181185,"tensor(0.1827, device='cuda:0', dtype=torch.float64)"
4,2.8189226015430227,"tensor(0.2419, device='cuda:0', dtype=torch.float64)",3.011624501789131,"tensor(0.2525, device='cuda:0', dtype=torch.float64)"
5,2.333693759143661,"tensor(0.3456, device='cuda:0', dtype=torch.float64)",2.7660023263126514,"tensor(0.2957, device='cuda:0', dtype=torch.float64)"
6,1.9007253181764023,"tensor(0.4355, device='cuda:0', dtype=torch.float64)",2.5863153633485205,"tensor(0.3580, device='cuda:0', dtype=torch.float64)"
7,1.5064922189041061,"tensor(0.5368, device='cuda:0', dtype=torch.float64)",2.5451389277892256,"tensor(0.3887, device='cuda:0', dtype=torch.float64)"
8,1.1667239833850747,"tensor(0.6306, device='cuda:0', dtype=torch.float64)",2.569150058138014,"tensor(0.3962, device='cuda:0', dtype=torch.float64)"
9,0.9256237823910337,"tensor(0.7122, device='cuda:0', dtype=torch.float64)",2.6147097016489784,"tensor(0.4070, device='cuda:0', dtype=torch.float64)"
10,0.745278531064847,"tensor(0.7563, device='cuda:0', dtype=torch.float64)",2.480419611614012,"tensor(0.4502, device='cuda:0', dtype=torch.float64)"
11,0.5937616904222786,"tensor(0.8055, device='cuda:0', dtype=torch.float64)",2.612788746919347,"tensor(0.4203, device='cuda:0', dtype=torch.float64)"
12,0.48465238878459854,"tensor(0.8426, device='cuda:0', dtype=torch.float64)",2.853782138951197,"tensor(0.4252, device='cuda:0', dtype=torch.float64)"
13,0.3704279938959192,"tensor(0.8842, device='cuda:0', dtype=torch.float64)",2.6209388151517343,"tensor(0.4560, device='cuda:0', dtype=torch.float64)"
14,0.3391901839221331,"tensor(0.8915, device='cuda:0', dtype=torch.float64)",2.824791732420557,"tensor(0.4336, device='cuda:0', dtype=torch.float64)"
15,0.28012625883889014,"tensor(0.9045, device='cuda:0', dtype=torch.float64)",2.8449618321320544,"tensor(0.4352, device='cuda:0', dtype=torch.float64)"
16,0.2619695674005466,"tensor(0.9194, device='cuda:0', dtype=torch.float64)",2.713714170297515,"tensor(0.4767, device='cuda:0', dtype=torch.float64)"
17,0.13860604084903197,"tensor(0.9590, device='cuda:0', dtype=torch.float64)",2.5477831767643013,"tensor(0.5000, device='cuda:0', dtype=torch.float64)"
18,0.08431617791736859,"tensor(0.9770, device='cuda:0', dtype=torch.float64)",2.481168508529663,"tensor(0.5125, device='cuda:0', dtype=torch.float64)"
19,0.05898670947843024,"tensor(0.9874, device='cuda:0', dtype=torch.float64)",2.5015470807338476,"tensor(0.5166, device='cuda:0', dtype=torch.float64)"
